id,subject,predicate,object_entity,epistemic_score,temporal_anchor,spatial_anchor,quote_context,valid_from,valid_until,created_at
1183,Brazil,HAS_CAPITAL,Brasília,0.9299999999999999,"","","'which hosts the capital, Brasília'",,,2026-03-16 19:46:21.716112+00
4,United Kingdom,SHARES_BORDER_WITH,Republic of Ireland,0.7801029995663982,"",Northwestern Europe,'It shares a land border with the Republic of Ireland',,,2026-03-16 19:03:16.670205+00
6,United Kingdom,WAS_CONQUERED_BY,Roman Empire,0.7801029995663982,AD 43,Britain,'In AD 43 the Roman conquest of Britain began',,,2026-03-16 19:03:16.670205+00
5,London,IS_CAPITAL_OF,United Kingdom,0.7801029995663982,"",England,'The capital and largest city of England and the UK is London',,,2026-03-16 19:03:16.670205+00
21,Elon Musk,FOUNDED,The Boring Company,0.95,2017,"","the tunneling company the Boring Company, which he founded in 2017",,,2026-03-16 19:03:26.595916+00
30,Belarus,SHARES_BORDER_WITH,Ukraine,0.95,"",South,'It is bordered by Ukraine to the south',,,2026-03-16 19:04:10.329443+00
37,Byelorussian SSR,BECAME_PART_OF,Soviet Union,0.95,1922,"","'the Byelorussian SSR, which became a founding constituent republic of the Soviet Union in 1922'",,,2026-03-16 19:04:10.329443+00
1247,Cocos Islands,DISCOVERED_BY,William Keeling,0.95,1609,"",'discovered in 1609 by the British sea captain William Keeling',,,2026-03-16 19:47:34.284984+00
1266,Croatia,DECLARED_INDEPENDENCE,Yugoslavia,0.95,25 June 1991,"",'Croatia declared its independence from Yugoslavia',,,2026-03-16 19:47:42.96906+00
50,France,SHARES_BORDER_WITH,Andorra,0.95,"",Metropolitan France,'Andorra and Spain to the south;',,,2026-03-16 19:04:31.235776+00
62,France,EXPERIENCED,French Revolution,0.95,1789,"",'The French Revolution of 1789 overthrew the Ancien Régime',,,2026-03-16 19:04:31.235776+00
79,Jerusalem,IS,government seat,0.95,"","","'Jerusalem is the government seat and proclaimed capital, while Tel Aviv is Israel's largest urban area and economic centre.'",,,2026-03-16 19:05:01.414762+00
96,Kievan Rus',WAS_ESTABLISHED_IN,9th century,0.95,9th century,"",The emergence of the East Slavs as a prominent group in Europe between the 3rd and 8th centuries AD led to the creation of Kievan Rus' in the 9th century.,,,2026-03-16 19:05:22.939392+00
101,Russian Revolution,OCCURRED_IN,1917,0.95,1917,"",The Russian Revolution of 1917 led to the abolition of monarchic rule and the creation of the first constitutionally socialist state in the world.,,,2026-03-16 19:05:22.939392+00
19,Elon Musk,CO_FOUNDED,OpenAI,0.7801029995663982,2015,"","In 2015, he co-founded OpenAI to advance artificial intelligence (AI) research",,,2026-03-16 19:03:26.595916+00
41,Belarus,SIGNED_TREATY_WITH,Russia,0.9299999999999999,2000,"","'In 2000, Belarus and Russia signed a treaty for greater cooperation'",,,2026-03-16 19:04:10.329443+00
42,Belarus,HAS_LIMITED_RELATIONSHIP_WITH,Council of Europe,0.95,"","",'Belarus is among the only three European countries not a member of the Council of Europe',,,2026-03-16 19:04:10.329443+00
1246,Cocos Islands,PART_OF,Australian Indian Ocean Territories,0.9299999999999999,"","",'forms the Australian Indian Ocean Territories administrative grouping',,,2026-03-16 19:47:34.284984+00
1265,"State of Slovenes, Croats, and Serbs",WAS_PROCLAIMED,Independent,0.95,October 1918,Zagreb,"'The State of Slovenes, Croats, and Serbs, independent from the Habsburg Empire, was proclaimed in Zagreb'",,,2026-03-16 19:47:42.96906+00
61,France,WAS_SUCCESSFUL_IN,Thirty Years' War,0.95,"","",'France was successful in the Thirty Years' War',,,2026-03-16 19:04:31.235776+00
80,Tel Aviv,IS,Israel's largest urban area,0.95,"","","'Jerusalem is the government seat and proclaimed capital, while Tel Aviv is Israel's largest urban area and economic centre.'",,,2026-03-16 19:05:01.414762+00
